order_id,customer_id,product_id,order_date,quantity,unit_price,shipping_cost,total_amount,profit,order_status
33,5928,11396,2024-10-26,5,8.96,11.15,44.8,12.37,Delivered
34,3547,17292,2024-11-29,2,819.99,10.15,1639.98,297.77,Shipped
35,8218,8334,2024-11-05,2,14.99,12.72,29.98,4.08,Cancelled
36,1319,25514,2024-06-30,1,16.0,5.79,16.0,2.88,Delivered
37,7895,15128,2024-09-23,2,17.96,13.11,35.92,8.61,Cancelled
38,6666,11690,2024-10-20,3,23.99,13.21,71.97,10.65,Shipped
39,3474,26979,2025-11-20,2,8.09,4.45,16.18,3.47,Delivered
40,8328,22398,2025-07-29,2,19.95,11.36,39.9,5.59,Delivered
41,1714,11949,2024-06-23,2,79.95,3.49,159.9,31.22,Cancelled
42,8619,16109,2024-08-29,5,289.95,12.89,1449.75,344.94,Cancelled
43,1585,7173,2025-12-12,2,7.95,6.66,15.9,2.99,Cancelled
44,9147,10495,2024-11-04,1,9.99,7.65,9.99,1.1,Delivered
45,2629,28566,2025-07-22,4,19.98,3.91,79.92,8.91,Delivered
46,5375,7789,2026-03-14,5,41.82,8.78,209.1,58.91,Cancelled
47,3950,8451,2025-06-08,2,19.95,9.47,39.9,7.36,Cancelled
48,2977,9912,2026-01-11,2,27.99,4.77,55.98,10.37,Shipped
49,8052,6009,2024-07-23,4,79.95,8.91,319.8,63.28,Delivered
50,1957,1580,2025-05-17,3,3.98,4.98,11.94,1.77,Shipped
51,1255,24366,2025-04-25,1,39.95,13.49,39.95,11.51,Cancelled
52,8160,19470,2025-02-18,5,14.54,9.3,72.7,19.86,Cancelled
53,5375,4561,2024-09-08,2,35.38,9.48,70.76,11.27,Shipped
54,7637,11908,2024-07-30,3,42.99,10.03,128.97,28.26,Shipped
55,1474,13239,2024-06-07,1,10.79,4.19,10.79,2.33,Cancelled
56,3729,14343,2025-03-06,3,13.77,10.19,41.31,6.32,Cancelled
57,1675,17410,2026-03-30,1,14.18,12.71,14.18,3.39,Cancelled
58,4414,21771,2026-04-03,2,7.84,10.62,15.68,4.68,Shipped
59,8686,4061,2026-05-12,4,44.9,3.62,179.6,29.78,Shipped
60,4049,10698,2025-12-07,4,28.95,3.91,115.8,17.73,Shipped
61,1106,16017,2025-03-28,1,2.58,6.41,2.58,0.34,Delivered
62,3857,12333,2025-07-16,4,189.0,10.79,756.0,192.45,Shipped
63,9290,13788,2024-06-01,4,3.38,11.75,13.52,1.56,Cancelled
64,5770,10174,2024-11-19,3,6.95,9.26,20.85,2.55,Shipped
65,2722,19404,2025-03-03,3,26.91,4.71,80.73,13.95,Cancelled
66,545,5698,2025-04-03,4,13.76,8.21,55.04,16.39,Cancelled
67,8797,93,2025-05-17,1,17.64,13.8,17.64,2.5,Shipped
68,4029,19433,2024-08-29,4,37.49,12.92,149.96,28.58,Delivered
69,3497,5652,2026-05-13,5,3099.99,9.65,15499.95,4208.76,Cancelled
70,6993,657,2024-07-05,5,32.01,3.53,160.05,26.95,Shipped
71,8617,21440,2025-07-15,2,24.99,2.06,49.98,6.39,Delivered
72,8456,24099,2024-08-21,3,9.99,7.92,29.97,3.77,Cancelled
73,2999,27032,2025-02-09,4,50.0,6.73,200.0,44.56,Shipped
74,6701,7279,2025-03-18,2,8.85,11.35,17.7,3.87,Delivered
75,2200,15249,2025-05-11,1,13.72,2.28,13.72,3.02,Shipped
76,1375,14005,2024-10-27,2,14.0,5.77,28.0,6.87,Delivered
77,1173,22240,2025-01-19,4,5.78,12.74,23.12,5.67,Delivered
78,6551,17174,2025-07-20,5,89.95,13.02,449.75,131.99,Delivered
79,1280,17017,2025-09-09,5,9.88,3.23,49.4,12.49,Delivered
80,7533,24243,2025-12-13,3,6.99,11.16,20.97,3.65,Delivered
81,7992,9314,2025-11-01,1,9.99,7.21,9.99,1.82,Cancelled
82,2164,6349,2025-01-16,3,37.19,8.05,111.57,17.53,Shipped
83,7785,10776,2025-04-06,2,15.25,14.21,30.5,3.58,Delivered
84,5919,23947,2026-03-24,3,13.85,9.91,41.55,8.24,Shipped
85,9251,1004,2025-03-16,4,4882.6,7.71,19530.4,2355.14,Shipped
86,779,22005,2025-03-31,4,7.14,6.19,28.56,3.83,Cancelled
87,3262,8660,2025-10-22,5,37.49,11.48,187.45,39.66,Delivered
88,234,1888,2025-02-13,2,8.08,10.01,16.16,2.74,Cancelled
89,82,22726,2024-12-08,1,15.08,3.23,15.08,2.18,Shipped
90,5878,15335,2025-12-27,3,174.33,2.74,522.99,91.83,Delivered
91,2468,8333,2025-08-22,2,26.98,9.25,53.96,7.85,Delivered
92,1164,29368,2025-11-12,1,18.19,11.64,18.19,4.83,Delivered
93,9133,9783,2024-12-17,4,7.75,13.67,31.0,7.64,Shipped
94,8086,28406,2025-02-28,4,38.0,6.75,152.0,18.1,Shipped
95,1339,26802,2026-04-28,3,29.5,5.85,88.5,15.66,Delivered
96,1834,5632,2025-08-21,1,19.95,13.55,19.95,4.0,Cancelled
97,7759,25555,2024-06-25,4,40.79,12.01,163.16,30.68,Delivered
98,9856,22429,2025-06-28,4,70.15,5.52,280.6,59.87,Delivered
99,4723,3228,2026-01-19,3,20.49,4.15,61.47,18.42,Delivered
100,5985,19248,2026-02-05,3,99.99,2.99,299.97,39.49,Cancelled
101,5550,6815,2026-02-23,1,4.69,9.32,4.69,1.36,Cancelled
102,4380,3566,2025-11-24,1,24.99,5.53,24.99,5.57,Shipped
103,1106,28054,2024-09-22,3,424.99,2.51,1274.97,345.87,Cancelled
104,7894,28028,2025-09-08,2,99.99,2.62,199.98,26.6,Delivered
105,4665,4019,2025-06-03,1,23.87,2.73,23.87,5.06,Shipped
106,3097,27903,2025-07-25,5,13.58,11.37,67.9,14.08,Shipped
107,8147,10655,2026-04-12,4,19.99,10.46,79.96,19.45,Delivered
108,8189,8638,2026-04-10,5,117.0,10.97,585.0,149.49,Cancelled
109,7639,14283,2024-07-30,1,270.67,14.42,270.67,79.82,Shipped
110,7439,28433,2024-06-16,4,40.0,10.59,160.0,34.96,Cancelled
111,6484,20227,2024-11-16,1,44.68,2.25,44.68,13.04,Cancelled
112,1505,22570,2024-08-12,5,9.46,14.46,47.3,13.44,Cancelled
113,9238,27916,2026-01-05,3,27.18,3.36,81.54,10.91,Delivered
114,7281,26791,2025-08-06,2,7.99,7.24,15.98,3.89,Delivered
115,7092,16856,2026-01-14,5,8.67,9.47,43.35,9.91,Cancelled
116,5194,16258,2025-01-01,1,24.98,9.5,24.98,3.95,Delivered
117,2945,28323,2026-01-10,5,16.94,10.19,84.7,12.47,Delivered
118,5570,18819,2024-10-12,2,61.99,12.37,123.98,23.66,Delivered
119,5380,1134,2026-05-10,4,217.11,2.87,868.44,173.77,Cancelled
120,1959,27966,2026-02-20,4,8.37,7.37,33.48,7.65,Shipped
121,7814,28083,2025-01-21,2,25.43,10.4,50.86,10.58,Shipped
122,5577,878,2025-12-18,3,4.99,6.4,14.97,2.22,Cancelled
123,5105,12406,2024-12-01,3,4.28,9.62,12.84,2.21,Shipped
124,1037,21841,2024-08-18,3,9.09,2.58,27.27,7.65,Shipped
125,4926,9732,2025-01-23,2,10.35,12.21,20.7,4.34,Delivered
126,3547,27180,2025-05-13,3,6.92,4.57,20.76,3.85,Shipped
127,1781,26715,2024-10-08,2,41.99,13.23,83.98,14.64,Delivered
128,8096,8721,2025-10-19,3,35.99,6.99,107.97,15.87,Cancelled
129,7868,4564,2024-10-16,2,10.48,5.17,20.96,4.48,Delivered
130,1070,14650,2024-11-27,1,55.99,6.42,55.99,7.94,Delivered
131,4990,19929,2025-12-11,4,41.24,14.82,164.96,33.94,Delivered
132,3661,23046,2024-12-01,5,19.99,3.93,99.95,11.43,Shipped
133,2025,24356,2024-09-16,4,1350.0,5.5,5400.0,1384.44,Shipped
134,1280,19981,2024-12-04,2,15.67,6.77,31.34,3.56,Shipped
135,6268,26831,2024-12-08,4,2.52,8.09,10.08,2.51,Delivered
136,5074,19361,2026-04-18,4,15.0,6.79,60.0,8.22,Delivered
137,9061,20708,2024-06-14,5,38.38,12.41,191.9,52.38,Delivered
138,6898,25296,2025-09-11,1,12.78,3.47,12.78,1.82,Delivered
139,2362,5466,2024-11-25,2,8.16,10.65,16.32,2.76,Cancelled
140,6195,22666,2025-06-14,4,26.99,13.13,107.96,27.48,Cancelled
141,1907,11187,2026-04-23,4,11.52,14.77,46.08,9.87,Shipped
142,7115,25306,2025-04-09,1,30.21,3.23,30.21,8.01,Delivered
143,4036,2244,2026-04-13,2,205.0,14.78,410.0,52.17,Shipped
144,7811,9009,2025-07-17,5,12.12,5.78,60.6,6.39,Delivered
145,1183,16996,2026-03-18,1,31.77,3.04,31.77,7.2,Delivered
146,6171,16687,2025-10-31,2,9.99,3.28,19.98,2.43,Delivered
147,9231,9077,2024-08-31,2,102.99,12.38,205.98,22.26,Cancelled
148,1327,23270,2025-12-01,5,9.97,2.68,49.85,6.09,Delivered
149,2300,9802,2026-02-15,1,47.99,9.47,47.99,8.33,Shipped
150,5042,15838,2025-12-26,2,7.2,10.6,14.4,2.88,Cancelled
151,703,6356,2026-02-05,4,11.36,9.22,45.44,10.3,Delivered
152,969,3061,2025-06-22,5,119.99,14.69,599.95,97.51,Delivered
153,6436,19349,2024-12-12,4,12.99,12.04,51.96,12.57,Shipped
154,1165,24281,2025-09-22,1,36.98,4.74,36.98,8.19,Delivered
155,9180,27030,2024-08-18,4,7.09,5.96,28.36,3.89,Shipped
156,4459,9058,2025-03-30,5,10.98,2.5,54.9,9.33,Delivered
157,8524,14413,2025-12-29,5,21.95,11.92,109.75,11.15,Shipped
158,698,8240,2024-08-30,1,12.98,6.87,12.98,1.68,Shipped
159,2176,12455,2025-05-09,5,10.98,7.59,54.9,12.15,Delivered
160,3280,4230,2026-04-09,2,8.97,13.77,17.94,3.07,Cancelled
161,1407,13622,2024-12-28,2,428.99,12.21,857.98,138.31,Shipped
162,7546,19071,2024-08-15,3,15.17,11.98,45.51,11.97,Delivered
163,2190,19855,2024-10-19,2,263.75,8.98,527.5,108.86,Cancelled
164,8745,28514,2025-11-18,5,22.24,11.07,111.2,18.16,Shipped
165,2557,20263,2024-06-03,1,42.99,10.0,42.99,8.57,Shipped
166,4763,22131,2024-11-16,4,6.14,13.37,24.56,6.15,Shipped
167,58,19473,2026-01-11,2,21.95,5.55,43.9,12.77,Delivered
168,8336,26481,2024-11-03,3,29.99,14.1,89.97,20.0,Shipped
169,9937,29449,2024-07-02,2,13.95,8.89,27.9,5.04,Cancelled
170,9488,160,2025-09-23,2,54.46,4.04,108.92,26.5,Delivered
171,271,22701,2025-10-26,3,21.99,9.51,65.97,13.2,Shipped
172,4850,15405,2026-01-20,1,40.7,8.47,40.7,6.74,Shipped
173,4262,8840,2025-04-22,4,2.6,9.21,10.4,2.35,Delivered
174,833,6700,2025-05-09,5,29.95,8.79,149.75,41.26,Shipped
175,1065,17245,2025-11-22,1,52.75,8.39,52.75,8.06,Delivered
176,1389,6782,2026-03-10,3,14.99,7.76,44.97,8.7,Shipped
177,5833,23793,2025-05-05,4,28.29,2.55,113.16,13.28,Cancelled
178,1739,13667,2025-05-10,1,399.99,10.07,399.99,68.09,Cancelled
179,2993,23943,2024-11-12,4,21.99,4.09,87.96,25.36,Delivered
180,6202,16039,2024-11-10,3,11.99,12.68,35.97,6.35,Shipped
181,1856,3813,2026-02-05,3,49.99,4.76,149.97,22.33,Delivered
182,9041,7948,2025-01-30,3,13.0,6.29,39.0,10.09,Cancelled
183,9296,8569,2024-05-27,2,13.73,10.29,27.46,5.98,Delivered
184,7820,1496,2024-07-18,4,39.49,8.9,157.96,29.13,Cancelled
185,3629,18907,2025-11-22,5,16.64,10.28,83.2,20.93,Cancelled
186,9047,18382,2024-09-21,2,59.99,5.31,119.98,20.15,Delivered
187,2238,17842,2025-09-19,1,305.99,4.78,305.99,36.34,Shipped
188,5172,23136,2025-09-13,1,59.95,3.68,59.95,10.23,Shipped
189,8265,16360,2026-03-04,4,48.79,3.87,195.16,40.77,Cancelled
190,3422,4907,2024-10-10,3,78.92,12.31,236.76,65.51,Cancelled
191,4584,10419,2025-01-08,4,1.48,13.41,5.92,0.96,Cancelled
192,7255,16810,2024-12-01,3,5.16,4.01,15.48,3.24,Shipped
193,4892,11535,2026-02-24,4,27.74,11.47,110.96,19.81,Shipped
194,2299,28605,2024-11-03,3,7.78,6.06,23.34,3.98,Shipped
195,4066,22375,2026-03-26,1,107.95,12.0,107.95,13.32,Shipped
196,5676,23016,2025-02-27,2,39.95,7.09,79.9,9.27,Cancelled
197,9223,24524,2025-12-02,5,14.4,2.27,72.0,12.37,Shipped
198,9840,795,2025-11-05,2,32.99,4.14,65.98,9.03,Cancelled
199,1573,338,2026-03-14,2,78.99,10.63,157.98,25.33,Shipped
200,7376,8519,2026-02-22,3,7.49,10.45,22.47,4.28,Delivered
201,6740,14635,2025-07-23,1,15.93,4.15,15.93,2.28,Shipped
202,6392,2402,2025-06-21,2,15.99,2.28,31.98,7.13,Delivered
203,4726,23911,2024-07-23,1,15.99,7.11,15.99,3.44,Shipped
204,444,945,2025-11-23,2,70.01,8.9,140.02,21.35,Delivered
205,269,24953,2026-05-02,3,0.59,3.51,1.77,0.22,Cancelled
206,6389,9432,2025-06-05,3,137.92,6.08,413.76,93.08,Cancelled
207,1249,24246,2024-12-12,5,12.58,7.68,62.9,18.78,Cancelled
208,5405,26778,2025-06-03,1,69.99,9.37,69.99,8.35,Delivered
209,6005,22616,2024-08-07,1,40.52,4.92,40.52,4.11,Shipped
210,8618,159,2025-04-16,5,21.95,3.58,109.75,22.76,Delivered
211,5605,12980,2024-11-26,2,74.16,4.91,148.32,38.15,Cancelled
212,2458,3781,2024-09-22,2,53.74,13.09,107.48,30.35,Delivered
213,7846,24591,2026-03-28,5,14.99,5.48,74.95,18.48,Delivered
214,1590,28182,2024-08-06,2,16.99,2.6,33.98,5.76,Shipped
215,7338,11424,2026-02-22,1,22.99,14.03,22.99,3.83,Cancelled
216,414,910,2025-01-30,1,8.73,4.6,8.73,0.99,Shipped
217,2661,4054,2025-03-24,4,55.33,5.29,221.32,29.62,Cancelled
218,4355,24740,2024-09-03,1,48.79,11.53,48.79,5.61,Delivered
219,5006,19464,2025-04-08,2,4.41,7.11,8.82,1.28,Shipped
220,3341,27196,2025-03-29,2,7.74,3.35,15.48,3.89,Cancelled
221,8456,21352,2026-01-28,1,13.29,6.2,13.29,1.56,Delivered
222,5339,25889,2025-04-25,1,29.99,7.96,29.99,6.81,Delivered
223,5904,8623,2025-12-27,5,52.52,6.19,262.6,76.85,Cancelled
224,5863,6686,2025-08-08,1,30.82,5.5,30.82,7.6,Delivered
225,4004,11193,2025-02-22,4,9.57,14.15,38.28,9.81,Delivered
226,2784,20476,2025-03-22,5,41.11,11.29,205.55,51.99,Cancelled
227,300,3007,2025-11-27,4,33.9,2.52,135.6,33.71,Cancelled
228,9444,26063,2025-04-03,3,39.99,14.04,119.97,12.5,Delivered
229,9917,6138,2025-03-05,5,14.79,13.46,73.95,8.48,Cancelled
230,5896,8293,2025-05-04,2,53.31,5.17,106.62,18.44,Delivered
231,6327,7183,2024-10-27,4,1.97,10.71,7.88,1.86,Shipped
232,5674,16868,2024-06-16,4,9.39,3.78,37.56,6.76,Cancelled
233,1819,22854,2025-05-10,5,42.9,14.33,214.5,56.36,Shipped
234,8709,11259,2025-01-02,2,25.0,3.37,50.0,12.28,Cancelled
235,8289,22592,2026-02-19,3,31.83,5.01,95.49,13.81,Cancelled
236,4523,11713,2026-03-03,4,7.66,13.32,30.64,4.2,Delivered
237,7394,17096,2025-06-16,1,28.99,8.1,28.99,5.39,Cancelled
238,9818,23214,2025-04-14,2,29.95,14.19,59.9,11.21,Shipped
239,2872,15034,2024-08-13,5,15.99,9.81,79.95,18.87,Shipped
240,9047,9317,2025-08-05,2,8.97,3.07,17.94,4.67,Shipped
241,3728,25307,2025-11-19,1,17.65,4.23,17.65,4.33,Shipped
242,9579,9103,2024-11-24,4,63.34,9.53,253.36,47.85,Shipped
243,5552,23141,2024-07-11,5,20.16,4.67,100.8,16.32,Delivered
244,6248,6593,2025-12-29,1,17.9,12.82,17.9,4.26,Cancelled
245,5662,28721,2024-07-02,2,349.22,12.05,698.44,193.9,Delivered
246,1790,6574,2025-05-10,2,40.95,5.2,81.9,17.48,Shipped
247,9784,22667,2024-08-21,3,71.95,12.51,215.85,28.82,Shipped
248,9320,21139,2025-08-12,5,39.95,13.49,199.75,35.24,Delivered
249,5938,24109,2024-08-07,2,3.64,9.34,7.28,1.63,Cancelled
250,5416,21538,2024-09-19,1,58.04,4.92,58.04,15.29,Delivered
251,1012,25155,2025-01-06,1,6.99,4.27,6.99,1.06,Cancelled
252,7799,8859,2025-12-11,3,4.49,13.71,13.47,2.54,Cancelled
253,6331,2410,2024-10-17,5,98.95,14.0,494.75,91.08,Shipped
254,2597,18606,2026-03-14,3,39.26,4.22,117.78,19.6,Shipped
255,4342,15484,2026-03-06,1,25.86,7.92,25.86,5.9,Delivered
256,9897,22203,2025-08-06,3,7.92,7.04,23.76,5.26,Shipped
257,3902,9610,2024-08-28,3,215.9,5.08,647.7,194.27,Shipped
258,3556,19957,2025-11-14,3,22.95,4.2,68.85,8.78,Cancelled
259,1831,6027,2025-02-23,5,215.01,12.4,1075.05,156.17,Shipped
260,8282,7282,2025-09-27,2,54.28,12.61,108.56,27.83,Shipped
261,6941,11615,2026-01-17,5,16.49,12.33,82.45,11.28,Delivered
262,5053,19080,2025-05-30,4,28.09,6.92,112.36,31.28,Delivered
263,9815,25757,2025-12-22,1,69.99,9.62,69.99,10.93,Shipped
264,9950,18256,2025-12-11,5,9.36,6.04,46.8,13.1,Shipped
265,6445,9349,2026-05-02,3,112.78,5.02,338.34,81.57,Cancelled
266,9275,29444,2025-10-24,5,5.72,8.68,28.6,8.14,Shipped
267,7397,7947,2026-04-10,1,12.21,13.3,12.21,1.92,Shipped
268,1707,10126,2024-07-05,5,9.8,14.87,49.0,4.93,Delivered
269,4061,24470,2025-09-17,4,47.44,10.08,189.76,28.76,Delivered
270,6128,14082,2026-03-27,2,5.01,14.33,10.02,2.81,Delivered
271,1424,26209,2025-11-21,3,13.95,4.11,41.85,11.89,Shipped
272,706,11264,2024-05-25,2,17.99,3.45,35.98,5.75,Delivered
273,1263,8733,2025-01-16,4,1895.0,11.35,7580.0,955.32,Cancelled
274,1604,2147,2025-04-17,5,27.99,14.11,139.95,23.6,Cancelled
275,1766,12372,2024-10-05,5,28.99,13.59,144.95,16.32,Delivered
276,2428,13624,2025-04-14,1,26.37,9.89,26.37,4.33,Cancelled
277,7844,14479,2024-09-25,1,69.99,3.57,69.99,10.41,Delivered
278,7899,25173,2024-12-09,2,15.78,2.24,31.56,7.39,Cancelled
279,6828,15771,2026-05-05,5,14.4,9.31,72.0,18.66,Delivered
280,8483,18303,2025-07-24,4,33.99,7.24,135.96,27.15,Delivered
281,7625,10774,2024-12-03,5,29.99,11.04,149.95,25.34,Delivered
282,7987,23578,2025-03-06,2,89.0,10.39,178.0,42.85,Cancelled
283,4726,25872,2025-06-21,1,10.84,12.53,10.84,2.27,Cancelled
284,766,28384,2024-05-22,2,23.99,7.86,47.98,12.79,Shipped
285,2066,13953,2024-09-03,4,139.99,11.35,559.96,159.37,Shipped
286,8532,14414,2024-06-13,3,33.56,11.43,100.68,24.16,Shipped
287,3437,16358,2025-08-01,4,7.48,7.07,29.92,5.18,Cancelled
288,3742,20993,2024-12-18,4,11.99,8.32,47.96,9.69,Cancelled
289,7538,12492,2024-12-27,4,17.99,3.35,71.96,19.35,Shipped
290,7298,9981,2024-10-14,2,7.95,3.45,15.9,4.64,Delivered
291,1044,4110,2024-05-30,1,28.95,6.55,28.95,7.48,Shipped
292,6845,1214,2026-04-30,1,4.98,14.31,4.98,0.61,Shipped
293,4898,1397,2025-05-08,4,41.99,14.8,167.96,18.8,Cancelled
294,3692,10040,2025-11-01,2,7.95,6.55,15.9,2.43,Cancelled
295,7223,8264,2026-04-24,3,47.08,5.35,141.24,26.99,Cancelled
296,1408,4372,2026-01-05,5,14.95,7.71,74.75,14.71,Delivered
297,1666,27403,2026-03-29,3,13.99,7.3,41.97,6.5,Cancelled
298,5354,11889,2025-10-26,1,22.0,9.95,22.0,6.4,Shipped
299,6084,809,2025-06-24,1,103.85,6.16,103.85,27.39,Delivered
300,1549,17006,2024-11-22,5,14.99,7.89,74.95,21.74,Delivered
301,7134,17985,2024-05-23,1,32.75,12.47,32.75,7.48,Shipped
302,4064,25751,2026-04-19,1,16.36,4.41,16.36,2.07,Shipped
303,7398,3335,2026-05-11,1,1.24,13.75,1.24,0.31,Cancelled
304,4331,14103,2025-12-28,1,12.92,9.51,12.92,2.84,Cancelled
305,8296,24097,2025-07-04,2,16.95,13.76,33.9,4.05,Shipped
306,2400,20579,2025-08-27,4,21.68,4.6,86.72,17.24,Delivered
307,6641,5068,2025-01-31,5,18.95,12.52,94.75,20.7,Delivered
308,7224,8836,2024-09-21,2,31.1,2.89,62.2,16.29,Delivered
309,9093,17337,2024-07-24,2,30.49,5.07,60.98,15.8,Cancelled
310,1712,19695,2025-09-18,4,12.2,4.95,48.8,14.1,Shipped
311,7016,19104,2025-08-02,4,8.37,6.42,33.48,9.38,Cancelled
312,1703,26539,2025-03-29,3,106.61,10.45,319.83,73.7,Shipped
313,3749,7360,2025-08-22,5,99.99,11.16,499.95,107.36,Shipped
314,2634,20187,2025-04-11,2,19.99,4.54,39.98,8.51,Delivered
315,5569,26410,2025-07-21,2,14.77,2.24,29.54,8.79,Shipped
316,384,25325,2025-07-16,5,12.62,14.91,63.1,17.82,Cancelled
317,5835,18616,2025-05-20,1,23.26,2.73,23.26,3.8,Shipped
318,3769,23174,2026-04-30,3,11.92,9.88,35.76,10.09,Shipped
319,3947,4702,2026-02-20,1,29.45,2.46,29.45,7.21,Shipped
320,6395,26514,2024-09-07,2,51.92,5.6,103.84,14.3,Shipped
321,6308,17571,2026-01-29,2,12.77,4.63,25.54,3.4,Shipped
322,989,14368,2024-08-05,4,533.27,11.1,2133.08,429.45,Cancelled
323,8769,28644,2025-06-02,2,21.99,12.63,43.98,7.9,Cancelled
324,9303,15723,2024-10-30,1,39.99,14.2,39.99,4.35,Cancelled
325,3221,19250,2025-05-20,2,88.82,12.12,177.64,34.59,Delivered
326,8907,26779,2024-10-10,3,4.55,14.65,13.65,2.24,Delivered
327,5959,25027,2026-01-07,4,21.95,12.19,87.8,16.38,Shipped
328,2527,3111,2025-06-18,5,13.95,12.82,69.75,8.63,Delivered
329,5368,25225,2024-12-15,4,39.09,12.4,156.36,44.73,Delivered
330,8538,21718,2025-11-05,1,8.39,12.12,8.39,1.75,Delivered
331,6587,4716,2025-05-09,4,22.41,7.5,89.64,14.76,Shipped
332,7932,12149,2025-01-30,3,13.69,8.03,41.07,12.14,Delivered
333,1145,11877,2025-02-22,3,36.99,7.17,110.97,19.62,Cancelled
334,5891,20587,2024-07-04,4,12.45,10.44,49.8,11.27,Shipped
335,3666,17384,2025-08-24,4,35.95,7.98,143.8,15.31,Cancelled
336,8662,1540,2025-04-25,4,7.67,14.3,30.68,7.79,Shipped
337,3067,19495,2025-10-17,5,4.48,11.95,22.4,2.73,Delivered
338,6009,4890,2024-08-14,1,6.99,13.27,6.99,0.73,Cancelled
339,1379,27813,2024-08-04,3,13.58,5.66,40.74,4.27,Cancelled
340,1467,3275,2024-07-21,3,21.99,5.45,65.97,14.14,Delivered
341,9041,11805,2025-10-16,1,5.95,14.22,5.95,1.65,Shipped
342,8717,11118,2024-08-07,4,33.59,4.82,134.36,22.01,Shipped
343,6755,8897,2024-12-09,4,4.48,14.48,17.92,3.34,Cancelled
344,4487,17946,2025-09-10,3,73.31,4.09,219.93,26.62,Shipped
345,8419,27773,2025-08-31,5,94.99,11.49,474.95,87.37,Delivered
346,4970,17866,2025-11-09,1,26.02,8.97,26.02,5.81,Delivered
347,9361,9456,2025-11-05,3,17.8,9.1,53.4,10.58,Cancelled
348,3897,3883,2025-06-07,1,2.48,6.23,2.48,0.67,Shipped
349,348,17397,2025-11-26,2,1414.27,5.2,2828.54,300.26,Cancelled
350,6718,12809,2025-10-13,1,9.55,6.4,9.55,2.33,Cancelled
351,46,22194,2024-09-26,4,15.99,6.17,63.96,9.9,Shipped
352,128,18304,2025-09-03,2,21.99,3.32,43.98,4.75,Shipped
353,9808,18363,2025-07-01,5,91.94,14.43,459.7,67.28,Delivered
354,9061,24155,2025-11-08,4,16.99,6.2,67.96,17.02,Delivered
355,1907,4891,2026-01-03,2,11.83,2.47,23.66,5.71,Shipped
356,2681,11863,2024-09-05,5,6.99,7.26,34.95,3.85,Delivered
357,698,20739,2025-10-14,4,4.42,14.77,17.68,3.91,Cancelled
358,6205,24678,2025-10-28,4,14.66,8.67,58.64,12.77,Cancelled
359,1490,22576,2025-08-13,5,20.99,11.18,104.95,24.57,Cancelled
360,2246,5600,2025-09-02,2,2599.99,13.3,5199.98,1216.77,Shipped
361,9133,28168,2025-12-24,5,52.95,5.88,264.75,52.71,Delivered
362,9804,6643,2025-07-14,3,76.69,3.23,230.07,37.92,Shipped
363,3217,3281,2024-07-08,3,10.07,11.2,30.21,6.3,Shipped
